"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20210814011469I","14-AUG-21","CHRISTIANSTED","VI","HENRY E ROHLSEN","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","402","C","HYANNIS AIR SERVICE INC","","AIR TAXI/COMMUTER","","385CA","0","0","","","","2","AIRLINE TRANSPORT","2475","","",""
"20210814011549I","14-AUG-21","LAS VEGAS","NV","MC CARRAN INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","400","A","PRIVATE JETS INC","","AIR TAXI/COMMUTER","","436FL","0","0","","","","2","","","","",""
"20210814013739I","14-AUG-21","MAYETTA","KS","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","35","N35","","","GENERAL OPERATING RULES","","1503Z","0","0","CONT M","I0-470 SERIES","N","1","COMMERCIAL PILOT","3916","","",""
"20210814013749I","14-AUG-21","GYPSUM","CO","EAGLE COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","377PC","0","0","CONT M","TSIO-550 SER","","","","","","",""
"20210814014319I","14-AUG-21","DEMING","NM","DEMING MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","180","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","9202T","0","0","CONT M","O-470 SERIES","","1","PRIVATE PILOT","1500","65","35",""
"20210815014349I","15-AUG-21","HEAVENER","OK","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","150","H","","","GENERAL OPERATING RULES","","50055","0","0","CONT M","0-200 SERIES","UNKNOW","1","PRIVATE PILOT","202","","",""
"20210815016729I","15-AUG-21","RICHMOND","VT","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","69AN","0","0","PZL-MI","ASH-621R","164782","","","","","",""
"20210816011499I","16-AUG-21","EAGLE RIVER","WI","EAGLE RIVER UNION","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","200","UNDESIGNATED SERIES","GRAN AIRE INC","","AIR TAXI/COMMUTER","","477JM","0","0","P&W","PT6A SER","","2","COMMERCIAL PILOT","7322","","",""
"20210816014359I","16-AUG-21","PITTSBURG","KS","ATKINSON MUNI","INCIDENT","MINOR","TAXI","PIPER","PA28","140","","","GENERAL OPERATING RULES","","98014","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","","","",""
"20210816014379I","16-AUG-21","CHARLOTTE","NC","CHARLOTTE/DOUGLAS INTL","INCIDENT","NONE","LANDING: APPROACH","CIRRUS","SR20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","145AW","0","0","","","","1","PRIVATE PILOT","1026","","",""
"20210816014389I","16-AUG-21","SAINT AUGUSTINE","FL","","INCIDENT","MINOR","TAKEOFF: ROTATION","BELL","206","B","","","GENERAL OPERATING RULES","","874M","0","0","ALLISO","250-C20 SER","","1","COMMERCIAL PILOT","1943","980","90",""
"20210817008639I","17-AUG-21","ANCHORAGE","AK","TED STEVENS ANCHORAGE INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","DE HAVILLAND","DHC8","106","CORVUS AIRLINES INC","","AIR CARRIER/COMMERCIAL","","885EA","0","0","P&W CA","PW121","","","AIRLINE TRANSPORT","3000","","",""
"20210818013809I","18-AUG-21","KALISPELL","MT","KALISPELL CITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","8236P","0","0","LYCOMI","0-540 SERIES","","","COMMERCIAL PILOT","2832","30","199",""
"20210818013819I","18-AUG-21","LOVELAND","CO","FORT COLLINS-LOVELAND MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","CHAMPION","7GCBC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","113MS","0","0","LYCOMI","0-320 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20210818013829I","18-AUG-21","FISHERS","IN","INDIANAPOLIS METROPOLITAN","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","150","","","GENERAL OPERATING RULES","","66834","0","0","LYCOMI","0-320 SERIES","","","AIRLINE TRANSPORT","3250","5","20",""
"20210818014419I","18-AUG-21","CRYSTAL","MN","CRYSTAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20M","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","21448","0","0","LYCOMI","TIO-540-AF1B","","1","PRIVATE PILOT","615","450","16",""
"20210819011449I","19-AUG-21","INDIANAPOLIS","IN","INDIANAPOLIS INTL","INCIDENT","MINOR","GROUND-RAMP","CESSNA","560","XL","JET LINX AVIATION LLC","","AIR TAXI/COMMUTER","","321CL","0","0","P&W CA","PW545 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7144","548","131",""
"20210819013839I","19-AUG-21","JANESVILLE","WI","SOUTHERN WISCONSIN RGNL","INCIDENT","MINOR","TAXI","PIPER","PA16","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5891H","0","0","LYCOMI","0-235 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2693","595","16",""
"20210819014429I","19-AUG-21","CAMARILLO","CA","CAMARILLO","INCIDENT","MINOR","LANDING: TOUCHDOWN","TAYLORCRAFT","DCO","65","","","GENERAL OPERATING RULES","","49211","0","0","CONT M","A&C65 SERIES","","","PRIVATE PILOT","384","","",""
"20210819014459I","19-AUG-21","LAWRENCE","MA","LAWRENCE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","DASSAULT","FALCON2000","EX","","","GENERAL OPERATING RULES","","197DX","0","0","P&W CA","PW308C","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","16400","2500","20",""
"20210819019609I","19-AUG-21","HOUSTON","TX","WILLIAM P HOBBY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","1983W","0","0","CONT M","IO-550-B","","1","PRIVATE PILOT","305","194","6",""
"20210819020429I","19-AUG-21","KISSIMMEE","FL","KISSIMMEE GATEWAY","INCIDENT","NONE","TAKEOFF: DEPARTURE","CESSNA","150","F","","","GENERAL OPERATING RULES","","6766F","0","0","CONT M","0-200 SERIES","","1","","","","",""
"20210820008659I","20-AUG-21","HONOLULU","HI","HONOLULU INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","SHORT","SD360","UNDESIGNATED SERIES","TRANS EXECUTIVE AIRLINES OF HAWAII","","AIR TAXI/COMMUTER","","4476F","0","0","","","","","PRIVATE PILOT","1746","1166","317",""
"20210820014449I","20-AUG-21","SHREVEPORT","LA","SHREVEPORT DOWNTOWN","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","31JV","0","0","AIRESE","TPE331 SERIES","","","","","","",""
"20210820014639I","20-AUG-21","BOYCE","LA","METRO AMBULANCE SERVICE","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","35","M35","","","GENERAL OPERATING RULES","","9596R","0","0","CONT M","I0-470 SERIES","C","1","","","","",""
"20210821012929I","21-AUG-21","CHEFORNAK","AK","CHEFORNAK","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","208","B","GRANT AVIATION INC","","AIR TAXI/COMMUTER","","162GA","0","0","P&W","PT6A SER","","1","","","","",""
"20210821014689I","21-AUG-21","QUEENSBURY","NY","FLOYD BENNETT MEMORIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T210","K","","","GENERAL OPERATING RULES","","210AB","0","0","CONT M","TSIO-520 SER","","1","COMMERCIAL PILOT","5200","46","50",""
"20210821015029I","21-AUG-21","ELBERTON","GA","ELBERT COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","NORTH AMERICAN","A36","A","","","GENERAL OPERATING RULES","","12FG","0","0","CONT M","IO-550 SERIES","","1","PRIVATE PILOT","1195","393","23",""
"20210822013879I","22-AUG-21","MUSKEGON","MI","MUSKEGON COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BELLANCA","1731","ATC","","","GENERAL OPERATING RULES","","39828","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","779","80","25",""
"20210822013889I","22-AUG-21","BOISE","ID","BOISE AIR TERMINAL/GOWEN FLD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","182","B","","","GENERAL OPERATING RULES","","2299C","0","0","CONT M","O-470 SERIES","","1","UNKNOWN/FOREIGN","9025","","",""
"20210822013899I","22-AUG-21","ROCHESTER","MN","ROCHESTER INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","SOCATA","TB20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","711RP","0","0","LYCOMI","IO-540 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4300","","",""
"20210822014699I","22-AUG-21","ANDERSON","TX","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","26625","0","0","FRANKL","4AC199D&E SER","","1","","","","",""
"20210822014709I","22-AUG-21","LEADVILLE","CO","LAKE COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","92VM","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","973","782","3",""
"20210822016499I","22-AUG-21","RATON","NM","RATON MUNI/CREWS FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","200","B200","","","GENERAL OPERATING RULES","","204RA","0","0","P&W CA","PT6A-42","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","14138","1629","30",""
"20210823013919I","23-AUG-21","BURLINGTON","WA","SKAGIT RGNL","INCIDENT","MINOR","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","309D","0","0","LYCOMI","O-320","","","PRIVATE PILOT","1435","150","52",""
"20210824013929I","24-AUG-21","CASPER","WY","CASPER/NATRONA COUNTY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","N","","","GENERAL OPERATING RULES","","733TL","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","77","67","14",""
"20210824014729I","24-AUG-21","KEY WEST","FL","KEY WEST INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CESSNA","172","P","","","GENERAL OPERATING RULES","","172LN","0","0","LYCOMI","O-320-D2J","0-320","1","","","","",""
"20210824016739I","24-AUG-21","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","NONE","OTHER-SPECIFY","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6482M","0","0","LYCOMI","0-235 SERIES","","1","","","","",""
"20210824019659I","24-AUG-21","ROCKLEDGE","FL","ROCKLEDGE","INCIDENT","NONE","TAXI","","","","","","GENERAL OPERATING RULES","","543MP","0","0","ROTAX","912 IS","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","13500","4","90",""
"20210825013952I","25-AUG-21","CLARENDON","VT","RUTLAND - SOUTHERN VERMONT RGNL","INCIDENT","MINOR","GROUND-RAMP","PIPER","PA28","161","","","GENERAL OPERATING RULES","","2884D","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","360","92","8",""
"20210825014739I","25-AUG-21","ELLENSBURG","WA","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CENTRAIR","101","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","404RR","0","2","ROTAX","582SER","","1","","180","30","1",""
"20210825014749I","25-AUG-21","MILWAUKEE","WI","LAWRENCE J TIMMERMAN","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","277GT","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","49","49","33",""
"20210826013979I","26-AUG-21","LIVINGSTON","MT","MISSION FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","P210","N","","","GENERAL OPERATING RULES","","54CC","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","1878","74","37",""
"20210826013989I","26-AUG-21","BAYTOWN","TX","BAYTOWN","INCIDENT","SUBSTANTIAL","DESCENT","BEECH","55","95B55","","","GENERAL OPERATING RULES","","2023A","0","0","CONT M","I0-470 SERIES","","","","","","",""
"20210826015049I","26-AUG-21","EDMONDS","WA","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","776WH","0","0","LYCOMI","O-320-E2D","UNK","1","","","","",""
"20210826015059I","26-AUG-21","COLORADO CITY","AZ","COLORADO CITY MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","AERO COMMANDER","100","180","","","GENERAL OPERATING RULES","","4030X","0","0","","","","","UNKNOWN/FOREIGN","","","",""
"20210826015729I","26-AUG-21","SCOTTSBORO","AL","SCOTTSBORO MUNI-WORD FIELD","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","33","35B33","","","GENERAL OPERATING RULES","","8555N","0","0","CONT M","I0-470 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6500","59","4",""
"20210827015069I","27-AUG-21","NEW BEDFORD","MA","NEW BEDFORD RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","181","","","GENERAL OPERATING RULES","","495LA","0","0","","","","","PRIVATE PILOT","400","10","3",""
"20210827015079I","27-AUG-21","MIAMI","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","172","N","","","GENERAL OPERATING RULES","","3YE","0","0","LYCOMI","0-320-H2AD","0-320","1","","","","",""
"20210827015099I","27-AUG-21","DENISON","TX","NORTH TEXAS RGNL/PERRIN FIELD","INCIDENT","MINOR","OTHER-SPECIFY","PIPER","PA24","250","","","GENERAL OPERATING RULES","","6272P","0","0","","","","","PRIVATE PILOT","423","","",""
"20210827015101I","27-AUG-21","GALLATIN","TN","","INCIDENT","MINOR","TAXI","BEECH","200","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","200JR","0","0","P&W CA","PT6A-60A","","2","COMMERCIAL PILOT","3364","130","35",""
"20210828015129I","28-AUG-21","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA24","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","180BC","0","0","LYCOMI","O&VO-360 SER","","","","","","",""
"20210828015299I","28-AUG-21","COLUMBUS","MS","GOLDEN TRIANGLE RGNL","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","177","A","","","GENERAL OPERATING RULES","","30615","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","832","748","35",""
"20210828016749I","28-AUG-21","CHESTERFIELD","MO","SPIRIT OF ST LOUIS","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","51163","0","0","","","","1","PRIVATE PILOT","166","75","37",""
"20210829015139I","29-AUG-21","GAINESVILLE","FL","GAINESVILLE RGNL","INCIDENT","NONE","RUN-UP AREA","PIPER","PA32","260","","","GENERAL OPERATING RULES","","7742J","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","2025","1800","25",""
"20210829015149I","29-AUG-21","DULUTH","MN","DULUTH INTL","INCIDENT","MINOR","TAKEOFF: ROTATION","","","","","","GENERAL OPERATING RULES","","730FA","0","0","WILLIA","FJ33-5A","","","AIRLINE TRANSPORT","12000","2500","34",""
"20210829015159I","29-AUG-21","COLUMBIA","CA","COLUMBIA","INCIDENT","MINOR","TAXI","AERO COMMANDER","500","B","","","GENERAL OPERATING RULES","","501TC","0","0","CONT M","I0-470 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","1000","30",""
"20210829015339I","29-AUG-21","BELEN","NM","ALEXANDER MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CHAMPION","7GCAA","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2597F","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","1450","","",""
"20210830014609I","30-AUG-21","PORT SAINT LUCIE","FL","TREASURE COAST AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA23","250","TAB ASSOCIATES","","AIR TAXI/COMMUTER","","6011Y","0","0","LYCOMI","TI0-540 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","14700","4000","90",""
"20210830015169I","30-AUG-21","MC KINNEY","TX","COLLIN COUNTY RGNL AT MC KINNEY","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28","181","","","GENERAL OPERATING RULES","","164G","0","0","LYCOMI","O-360-A4M","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","630","","",""
"20210831014039I","31-AUG-21","OWLS HEAD","ME","KNOX COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","S","","","GENERAL OPERATING RULES","","916BA","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT","285","240","30",""
"20210901015349I","01-SEP-21","TRENTON","ME","HANCOCK COUNTY-BAR HARBOR","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","51FD","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","1968","","",""
"20210902011459I","02-SEP-21","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","DESCENT","CESSNA","560","XL","EXCLUSIVE JETS LLC","","AIR TAXI/COMMUTER","","827JS","0","0","P&W CA","PW545 SER","","2","AIRLINE TRANSPORT","5000","","",""
"20210903015249I","03-SEP-21","POMPANO BEACH","FL","POMPANO BEACH AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","310","Q","","","GENERAL OPERATING RULES","","911SQ","0","0","CONT M","I0-470 SERIES","","2","","","","",""
"20210903016239I","03-SEP-21","SAN JUAN","PR","FERNANDO LUIS RIBAS DOMINICCI","INCIDENT","MINOR","LANDING: APPROACH","","","","","","","","NONE","0","0","","","","","","","","",""
"20210904015289I","04-SEP-21","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","35","V35B","","","GENERAL OPERATING RULES","","17561","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","1115","18","76",""
"20210904017979I","04-SEP-21","EVANSTON","WY","EVANSTON-UINTA COUNTY BURNS FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","24","C24R","","","GENERAL OPERATING RULES","","118GB","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","","5","2",""
"20210905015369I","05-SEP-21","DANBURY","CT","DANBURY MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA46","310P","","","GENERAL OPERATING RULES","","87RD","0","0","CONT M","TSIO-550 SER","","","COMMERCIAL PILOT","2686","2365","47",""
"20210905015379I","05-SEP-21","MOSES LAKE","WA","MOSES LAKE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","25628","0","0","P&W","R-985 SERIES","","2","COMMERCIAL PILOT","2925","","",""
"20210906015429I","06-SEP-21","SAN DIEGO","CA","MONTGOMERY FIELD","INCIDENT","MINOR","TAXI","PIPER","PA34","200","","","GENERAL OPERATING RULES","","4567T","0","0","LYCOMI","I0360 SER","","","AIRLINE TRANSPORT","2574","339","98",""
"20210906015449I","06-SEP-21","","MO","LAKE VIKING","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","407RS","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","598","90","123",""
"20210906016251I","06-SEP-21","COLORADO SPRINGS","CO","","INCIDENT","NONE","HOVER-HOLDING","","","","","","","","NONE","0","0","","","","","PILOT NOT CERTIFICATED","","","",""
"20210907016759I","07-SEP-21","PRINCETON","ME","","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","142JD","0","1","","","","","PILOT NOT CERTIFICATED","","","",""
"20210908015489I","08-SEP-21","RIFLE","CO","GARFIELD COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","60","B60","","","GENERAL OPERATING RULES","","22JY","0","0","LYCOMI","TI0-541 SER","","","COMMERCIAL PILOT","5770","1110","63",""
"20210909011489I","09-SEP-21","EDEN PRAIRIE","MN","FLYING CLOUD","INCIDENT","MINOR","LANDING: APPROACH","","","","DELTA PRIVATE JETS INC","","AIR TAXI/COMMUTER","","751MT","0","0","HONEYW","TFE731-5BR","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20210909013069I","09-SEP-21","","WA","","INCIDENT","MINOR","OTHER-SPECIFY","AIR TRACTOR","AT802","A","AERO SPRAY INC","","AGRICULTURAL","","779DA","0","0","P&W CA","PT6A-67F","","","AIRLINE TRANSPORT","6923","233","114",""
"20210909014059I","09-SEP-21","ANCHORAGE","AK","","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","35727","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","720","54","280",""
"20210909016129I","09-SEP-21","BURLINGTON","NC","BURLINGTON-ALAMANCE RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","7525J","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT","1100","550","26",""
"20210910015509I","10-SEP-21","ORANGE","MA","ORANGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20M","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","64SM","0","0","LYCOMI","TI0-540 SER","","1","COMMERCIAL PILOT","2618","2286","25",""
"20210910015519I","10-SEP-21","MIAMI","FL","OPA-LOCKA EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32RT","300","","","GENERAL OPERATING RULES","","31397","0","0","LYCOMI","IO-540 SER","","","","","","",""
"20210910015529I","10-SEP-21","YUCCA VALLEY","CA","YUCCA VALLEY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","64Z","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","360","1700","36",""
"20210910015539I","10-SEP-21","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","MINOR","LANDING: APPROACH","BOMBARDIER","CL600 2D24","900","ENDEAVOR AIR","","AIR CARRIER/COMMERCIAL","","181PQ","0","0","GE","CF34-8C5","","","","","","",""
"20210911015549I","11-SEP-21","SANTA PAULA","CA","SANTA PAULA","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","S35","","","GENERAL OPERATING RULES","","997BC","0","0","","","","1","PRIVATE PILOT","333","87","42",""
"20210911015559I","11-SEP-21","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28","181","","","PILOT SCHOOLS","","474TA","0","0","","","","","PRIVATE PILOT","213","","",""
"20210911015579I","11-SEP-21","BAY MINETTE","AL","BAY MINETTE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","M","","","GENERAL OPERATING RULES","","20600","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","14","14","14",""
"20210911017939I","11-SEP-21","RICHMOND","VA","RICHMOND INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BOMBARDIER","CL600 2D24","900","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","568NN","0","0","GE","CF34","8C5","","AIRLINE TRANSPORT","","1841","167",""
"20210911018599I","11-SEP-21","OCEAN CITY","NJ","OCEAN CITY MUNI","INCIDENT","MINOR","LANDING: APPROACH","ROCKWELL","112","TC","","","GENERAL OPERATING RULES","","4565W","0","0","","","","1","PRIVATE PILOT","145","71","20",""
"20210912015599I","12-SEP-21","RYEGATE","VT","","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","83KX","0","0","NONE","NONE","N/A","","COMMERCIAL PILOT","2250","141","53",""
"20210912015609I","12-SEP-21","POMPANO BEACH","FL","POMPANO BEACH AIRPARK","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","182","S","","","GENERAL OPERATING RULES","","2662A","0","0","LYCOMI","IO-540 SER","","1","PRIVATE PILOT","274","100","13",""
"20210912015619I","12-SEP-21","SANTA ROSA","CA","CHARLES M. SCHULZ - SONOMA COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","AVIAT","A1","C200","","","GENERAL OPERATING RULES","","846U","0","0","LYCOMI","IO-360-A1D6","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","100","",""
"20210912018299I","12-SEP-21","WINTON","NC","RAT LANDING","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","AVIAT","A1","B","","","GENERAL OPERATING RULES","","555XP","0","0","LYCOMI","0-360-A1D","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","25000","18","18",""
"20210913015659I","13-SEP-21","BRODNAX","VA","MECKLENBURG-BRUNSWICK RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","310","I","","","GENERAL OPERATING RULES","","3886T","0","0","CONT M","I0-470 SERIES","","2","PRIVATE PILOT","646","188","12",""
